dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl1000_mr05_nv10_1,0.6,0.353,0.444,1,0.706,0.828,0.923,0.706,0.8,0.55,0.647,0.595,0.667,0.588,0.625,0.875,0.824,0.848
SEIR015_sl1000_mr05_nv10_10,0.875,0.778,0.824,0,0,0,0,0,0,0.8,0.889,0.842,0.8,0.889,0.842,1,0.889,0.941
SEIR015_sl1000_mr05_nv10_11,0.375,0.375,0.375,1,0.375,0.545,0.75,0.375,0.5,0.333,0.375,0.353,0.333,0.375,0.353,1,0.5,0.667
SEIR015_sl1000_mr05_nv10_12,0.571,0.5,0.533,1,0.25,0.4,0.6,0.375,0.462,0.727,1,0.842,0.727,1,0.842,1,0.875,0.933
SEIR015_sl1000_mr05_nv10_13,0.949,0.607,0.74,0.981,0.852,0.912,0.981,0.869,0.922,0.951,0.951,0.951,0.942,0.803,0.867,0.98,0.803,0.883
SEIR015_sl1000_mr05_nv10_14,0.867,0.283,0.426,1,0.804,0.892,0.953,0.891,0.921,0.545,0.652,0.594,0.784,0.63,0.699,1,0.674,0.805
SEIR015_sl1000_mr05_nv10_15,0.75,0.273,0.4,1,0.545,0.706,1,0.727,0.842,0.75,0.818,0.783,0.7,0.636,0.667,1,0.727,0.842
SEIR015_sl1000_mr05_nv10_16,0.929,0.634,0.754,1,0.78,0.877,1,0.854,0.921,0.826,0.927,0.874,0.857,0.878,0.867,0.972,0.854,0.909
SEIR015_sl1000_mr05_nv10_17,0.653,0.464,0.542,1,0.754,0.86,0.933,0.812,0.868,0.675,0.783,0.725,0.8,0.754,0.776,1,0.812,0.896
SEIR015_sl1000_mr05_nv10_18,0.76,0.463,0.576,0.962,0.61,0.746,0.903,0.683,0.778,0.778,0.854,0.814,0.786,0.805,0.795,1,0.756,0.861
SEIR015_sl1000_mr05_nv10_19,0.571,0.5,0.533,1,0.812,0.897,0.968,0.938,0.952,0.757,0.875,0.812,0.794,0.844,0.818,1,0.938,0.968
SEIR015_sl1000_mr05_nv10_2,1,0.31,0.473,0.975,0.929,0.951,0.975,0.929,0.951,0.833,0.833,0.833,0.909,0.714,0.8,0.941,0.762,0.842
