dataset,without_complex_prec,without_complex_rec,without_complex_f1,with_complex_prec,with_complex_rec,with_complex_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.904,0.95,1.0,0.959,0.979
SEIR015_sl1000_mr0125_nv10_10,1.0,0.842,0.914,0.941,0.842,0.889
SEIR015_sl1000_mr0125_nv10_11,1.0,0.692,0.818,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,1.0,0.643,0.783,1.0,0.714,0.833
SEIR015_sl1000_mr0125_nv10_13,0.979,0.94,0.959,0.979,0.94,0.959
SEIR015_sl1000_mr0125_nv10_14,0.975,0.75,0.848,0.909,0.769,0.833
SEIR015_sl1000_mr0125_nv10_15,0.967,0.644,0.773,0.935,0.644,0.763
SEIR015_sl1000_mr0125_nv10_16,0.974,0.587,0.733,0.896,0.683,0.775
SEIR015_sl1000_mr0125_nv10_17,1.0,0.692,0.818,0.875,0.808,0.84
SEIR015_sl1000_mr0125_nv10_18,1.0,0.7,0.824,0.889,0.8,0.842
SEIR015_sl1000_mr0125_nv10_19,1.0,0.548,0.708,0.95,0.613,0.745
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.846,0.688,0.759
SEIR015_sl1000_mr0125_nv10_20,1.0,0.829,0.907,1.0,0.951,0.975
SEIR015_sl1000_mr0125_nv10_3,1.0,0.667,0.8,0.75,0.667,0.706
SEIR015_sl1000_mr0125_nv10_4,1.0,0.7,0.824,1.0,0.8,0.889
SEIR015_sl1000_mr0125_nv10_5,0.979,0.922,0.949,0.979,0.922,0.949
SEIR015_sl1000_mr0125_nv10_6,1.0,0.8,0.889,0.966,0.8,0.875
SEIR015_sl1000_mr0125_nv10_7,1.0,0.765,0.867,1.0,0.912,0.954
SEIR015_sl1000_mr0125_nv10_8,1.0,0.778,0.875,0.933,0.778,0.848
SEIR015_sl1000_mr0125_nv10_9,1.0,0.524,0.688,0.933,0.667,0.778
SEIR015_sl1000_mr025_nv10_1,1.0,0.7,0.824,0.875,0.7,0.778
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.667,0.364,0.471
SEIR015_sl1000_mr025_nv10_11,1.0,0.821,0.902,0.98,0.857,0.914
SEIR015_sl1000_mr025_nv10_12,1.0,0.1,0.182,0.6,0.3,0.4
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,0.4,0.2,0.267
SEIR015_sl1000_mr025_nv10_14,0.85,0.68,0.756,0.783,0.72,0.75
SEIR015_sl1000_mr025_nv10_15,1.0,0.638,0.779,0.896,0.741,0.811
SEIR015_sl1000_mr025_nv10_16,1.0,0.571,0.727,1.0,0.571,0.727
SEIR015_sl1000_mr025_nv10_17,0.963,0.684,0.8,0.931,0.711,0.806
SEIR015_sl1000_mr025_nv10_18,1.0,0.676,0.806,0.839,0.703,0.765
SEIR015_sl1000_mr025_nv10_19,1.0,0.737,0.848,1.0,0.947,0.973
SEIR015_sl1000_mr025_nv10_2,0.98,0.875,0.925,0.982,0.964,0.973
SEIR015_sl1000_mr025_nv10_20,1.0,0.5,0.667,0.833,0.625,0.714
SEIR015_sl1000_mr025_nv10_3,1.0,0.783,0.878,0.976,0.891,0.932
SEIR015_sl1000_mr025_nv10_4,1.0,0.795,0.886,0.947,0.818,0.878
SEIR015_sl1000_mr025_nv10_5,1.0,0.917,0.957,0.979,0.958,0.968
SEIR015_sl1000_mr025_nv10_6,0.955,0.913,0.933,0.933,0.913,0.923
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.833,0.556,0.667
SEIR015_sl1000_mr025_nv10_8,1.0,0.7,0.824,0.778,0.7,0.737
SEIR015_sl1000_mr025_nv10_9,1.0,0.857,0.923,0.942,0.875,0.907
SEIR015_sl1000_mr025_nv20_1,1.0,0.6,0.75,1.0,0.733,0.846
SEIR015_sl1000_mr025_nv20_10,1.0,0.222,0.364,0.833,0.556,0.667
SEIR015_sl1000_mr025_nv20_11,1.0,0.692,0.818,0.818,0.692,0.75
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.778,0.7,0.737
SEIR015_sl1000_mr025_nv20_13,0.833,0.556,0.667,0.75,0.667,0.706
SEIR015_sl1000_mr025_nv20_14,0.955,0.955,0.955,0.955,0.955,0.955
SEIR015_sl1000_mr025_nv20_15,1.0,0.375,0.545,0.85,0.708,0.773
SEIR015_sl1000_mr025_nv20_16,0.897,0.867,0.881,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv20_17,1.0,0.875,0.933,0.943,0.893,0.917
SEIR015_sl1000_mr025_nv20_18,1.0,0.615,0.762,0.853,0.744,0.795
SEIR015_sl1000_mr025_nv20_19,1.0,0.545,0.706,0.8,0.727,0.762
SEIR015_sl1000_mr025_nv20_2,1.0,0.6,0.75,0.909,0.8,0.851
SEIR015_sl1000_mr025_nv20_20,0.846,0.579,0.688,0.8,0.632,0.706
SEIR015_sl1000_mr025_nv20_3,1.0,0.712,0.832,0.965,0.833,0.894
SEIR015_sl1000_mr025_nv20_4,1.0,0.818,0.9,0.933,0.848,0.889
SEIR015_sl1000_mr025_nv20_5,1.0,0.974,0.987,1.0,0.974,0.987
SEIR015_sl1000_mr025_nv20_6,0.963,0.684,0.8,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,0.829,0.806,0.817
SEIR015_sl1000_mr025_nv20_8,1.0,0.731,0.845,0.982,0.821,0.894
SEIR015_sl1000_mr025_nv20_9,1.0,0.889,0.941,0.944,0.944,0.944
SEIR015_sl1000_mr025_nv5_1,1.0,0.429,0.6,0.75,0.429,0.545
SEIR015_sl1000_mr025_nv5_10,1.0,0.417,0.588,0.958,0.639,0.767
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.902,0.787,0.841
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.778,0.636,0.7
SEIR015_sl1000_mr025_nv5_13,1.0,0.71,0.83,0.92,0.742,0.821
SEIR015_sl1000_mr025_nv5_14,0.917,0.733,0.815,0.846,0.733,0.786
SEIR015_sl1000_mr025_nv5_15,0.857,0.738,0.793,0.817,0.754,0.784
SEIR015_sl1000_mr025_nv5_16,1.0,0.846,0.917,0.957,0.846,0.898
SEIR015_sl1000_mr025_nv5_17,0.969,0.756,0.849,0.97,0.78,0.865
SEIR015_sl1000_mr025_nv5_18,0.875,0.636,0.737,0.857,0.655,0.742
SEIR015_sl1000_mr025_nv5_19,1.0,0.182,0.308,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv5_2,1.0,0.444,0.615,1.0,0.444,0.615
SEIR015_sl1000_mr025_nv5_20,1.0,0.659,0.794,0.903,0.683,0.778
SEIR015_sl1000_mr025_nv5_3,0.929,0.481,0.634,0.941,0.593,0.727
SEIR015_sl1000_mr025_nv5_4,1.0,0.7,0.824,0.974,0.74,0.841
SEIR015_sl1000_mr025_nv5_5,1.0,0.333,0.5,0.889,0.381,0.533
SEIR015_sl1000_mr025_nv5_6,1.0,0.597,0.747,0.95,0.613,0.745
SEIR015_sl1000_mr025_nv5_7,1.0,0.846,0.917,0.957,0.846,0.898
SEIR015_sl1000_mr025_nv5_8,1.0,0.696,0.821,0.889,0.696,0.78
SEIR015_sl1000_mr025_nv5_9,0.947,0.45,0.61,0.84,0.525,0.646
SEIR015_sl1000_mr05_nv10_1,1.0,0.706,0.828,0.923,0.706,0.8
SEIR015_sl1000_mr05_nv10_10,0,0,0,0,0,0
SEIR015_sl1000_mr05_nv10_11,1.0,0.375,0.545,0.75,0.375,0.5
SEIR015_sl1000_mr05_nv10_12,1.0,0.25,0.4,0.6,0.375,0.462
SEIR015_sl1000_mr05_nv10_13,0.981,0.852,0.912,0.981,0.869,0.922
SEIR015_sl1000_mr05_nv10_14,1.0,0.804,0.892,0.953,0.891,0.921
SEIR015_sl1000_mr05_nv10_15,1.0,0.545,0.706,1.0,0.727,0.842
SEIR015_sl1000_mr05_nv10_16,1.0,0.78,0.877,1.0,0.854,0.921
SEIR015_sl1000_mr05_nv10_17,1.0,0.754,0.86,0.933,0.812,0.868
SEIR015_sl1000_mr05_nv10_18,0.962,0.61,0.746,0.903,0.683,0.778
SEIR015_sl1000_mr05_nv10_19,1.0,0.812,0.897,0.968,0.938,0.952
SEIR015_sl1000_mr05_nv10_2,0.975,0.929,0.951,0.975,0.929,0.951
SEIR015_sl1000_mr05_nv10_20,1.0,0.561,0.719,0.923,0.585,0.716
SEIR015_sl1000_mr05_nv10_3,0.978,0.786,0.871,0.939,0.821,0.876
SEIR015_sl1000_mr05_nv10_4,1.0,0.625,0.769,0.926,0.781,0.847
SEIR015_sl1000_mr05_nv10_5,1.0,0.727,0.842,0.889,0.727,0.8
SEIR015_sl1000_mr05_nv10_6,1.0,0.833,0.909,0.926,0.833,0.877
SEIR015_sl1000_mr05_nv10_7,0.875,0.538,0.667,0.833,0.769,0.8
SEIR015_sl1000_mr05_nv10_8,1.0,0.861,0.925,0.97,0.889,0.928
SEIR015_sl1000_mr05_nv10_9,1.0,0.6,0.75,0.9,0.6,0.72
SEIR015_sl250_mr025_nv10_1,0.8,0.235,0.364,0.667,0.588,0.625
SEIR015_sl250_mr025_nv10_10,1.0,0.542,0.703,0.92,0.78,0.844
SEIR015_sl250_mr025_nv10_11,0.727,0.235,0.356,0.478,0.324,0.386
SEIR015_sl250_mr025_nv10_12,1.0,0.395,0.567,0.69,0.465,0.556
SEIR015_sl250_mr025_nv10_13,1.0,0.625,0.769,0.909,0.625,0.741
SEIR015_sl250_mr025_nv10_14,1.0,0.12,0.214,0.429,0.36,0.391
SEIR015_sl250_mr025_nv10_15,0.958,0.469,0.63,0.841,0.755,0.796
SEIR015_sl250_mr025_nv10_16,0.667,0.148,0.242,0.733,0.407,0.524
SEIR015_sl250_mr025_nv10_17,1.0,0.083,0.154,1.0,0.25,0.4
SEIR015_sl250_mr025_nv10_18,0,0,0,0.667,0.545,0.6
SEIR015_sl250_mr025_nv10_19,1.0,0.378,0.549,0.917,0.595,0.721
SEIR015_sl250_mr025_nv10_2,1.0,0.136,0.24,0.846,0.5,0.629
SEIR015_sl250_mr025_nv10_20,1.0,0.424,0.596,0.893,0.758,0.82
SEIR015_sl250_mr025_nv10_3,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_4,1.0,0.4,0.571,0.75,0.6,0.667
SEIR015_sl250_mr025_nv10_5,1.0,0.125,0.222,0.5,0.125,0.2
SEIR015_sl250_mr025_nv10_6,1.0,0.486,0.654,0.655,0.543,0.594
SEIR015_sl250_mr025_nv10_7,1.0,0.375,0.545,0.556,0.625,0.588
SEIR015_sl250_mr025_nv10_8,1.0,0.667,0.8,0.905,0.704,0.792
SEIR015_sl250_mr025_nv10_9,0.857,0.4,0.545,0.533,0.533,0.533
SEIR015_sl500_mr025_nv10_1,1.0,0.6,0.75,0.667,0.6,0.632
SEIR015_sl500_mr025_nv10_10,0.974,0.884,0.927,0.929,0.907,0.918
SEIR015_sl500_mr025_nv10_11,0,0,0,0.6,0.375,0.462
SEIR015_sl500_mr025_nv10_12,1.0,0.83,0.907,0.957,0.849,0.9
SEIR015_sl500_mr025_nv10_13,1.0,0.643,0.783,0.72,0.643,0.679
SEIR015_sl500_mr025_nv10_14,1.0,0.111,0.2,1.0,0.222,0.364
SEIR015_sl500_mr025_nv10_15,1.0,0.862,0.926,0.981,0.897,0.937
SEIR015_sl500_mr025_nv10_16,1.0,0.417,0.588,0.778,0.583,0.667
SEIR015_sl500_mr025_nv10_17,1.0,0.5,0.667,0.727,0.571,0.64
SEIR015_sl500_mr025_nv10_18,1.0,0.885,0.939,0.958,0.885,0.92
SEIR015_sl500_mr025_nv10_19,1.0,0.5,0.667,0.857,0.6,0.706
SEIR015_sl500_mr025_nv10_2,1.0,0.5,0.667,0.833,0.625,0.714
SEIR015_sl500_mr025_nv10_20,1.0,0.766,0.867,0.898,0.828,0.862
SEIR015_sl500_mr025_nv10_3,0.75,0.405,0.526,0.577,0.405,0.476
SEIR015_sl500_mr025_nv10_4,0.952,0.488,0.645,0.912,0.756,0.827
SEIR015_sl500_mr025_nv10_5,1.0,0.786,0.88,0.917,0.786,0.846
SEIR015_sl500_mr025_nv10_6,1.0,0.526,0.69,0.929,0.684,0.788
SEIR015_sl500_mr025_nv10_7,0.974,0.597,0.74,0.792,0.613,0.691
SEIR015_sl500_mr025_nv10_8,1.0,0.522,0.686,0.769,0.597,0.672
SEIR015_sl500_mr025_nv10_9,1.0,0.455,0.625,0.636,0.636,0.636
SEIR01_sl1000_mr0125_nv10_1,1.0,0.778,0.875,1.0,0.833,0.909
SEIR01_sl1000_mr0125_nv10_10,0.96,0.889,0.923,0.962,0.926,0.943
SEIR01_sl1000_mr0125_nv10_11,1.0,0.923,0.96,1.0,0.923,0.96
SEIR01_sl1000_mr0125_nv10_12,1.0,0.4,0.571,1.0,0.4,0.571
SEIR01_sl1000_mr0125_nv10_13,1.0,0.7,0.824,0.889,0.8,0.842
SEIR01_sl1000_mr0125_nv10_14,0.966,0.933,0.949,0.966,0.933,0.949
SEIR01_sl1000_mr0125_nv10_15,1.0,0.792,0.884,0.952,0.833,0.889
SEIR01_sl1000_mr0125_nv10_16,0.8,0.571,0.667,0.8,0.571,0.667
SEIR01_sl1000_mr0125_nv10_17,0.778,0.583,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_18,0.907,0.867,0.886,0.886,0.867,0.876
SEIR01_sl1000_mr0125_nv10_19,1.0,0.767,0.868,1.0,0.867,0.929
SEIR01_sl1000_mr0125_nv10_2,1.0,0.731,0.844,0.955,0.808,0.875
SEIR01_sl1000_mr0125_nv10_20,0.952,0.8,0.87,0.875,0.84,0.857
SEIR01_sl1000_mr0125_nv10_3,1.0,0.895,0.944,1.0,0.974,0.987
SEIR01_sl1000_mr0125_nv10_4,0.857,0.75,0.8,0.818,0.75,0.783
SEIR01_sl1000_mr0125_nv10_5,1.0,0.872,0.932,0.956,0.915,0.935
SEIR01_sl1000_mr0125_nv10_6,0.913,0.875,0.894,0.913,0.875,0.894
SEIR01_sl1000_mr0125_nv10_7,1.0,0.872,0.932,1.0,0.872,0.932
SEIR01_sl1000_mr0125_nv10_8,0.8,0.667,0.727,0.8,0.667,0.727
SEIR01_sl1000_mr0125_nv10_9,0.979,0.979,0.979,0.979,0.979,0.979
SEIR01_sl1000_mr025_nv10_1,1.0,0.821,0.902,0.958,0.821,0.885
SEIR01_sl1000_mr025_nv10_10,0.875,0.778,0.824,0.7,0.778,0.737
SEIR01_sl1000_mr025_nv10_11,1.0,0.857,0.923,1.0,0.943,0.971
SEIR01_sl1000_mr025_nv10_12,0.833,0.625,0.714,0.833,0.625,0.714
SEIR01_sl1000_mr025_nv10_13,1.0,0.75,0.857,1.0,0.75,0.857
SEIR01_sl1000_mr025_nv10_14,0.966,0.824,0.889,0.969,0.912,0.939
SEIR01_sl1000_mr025_nv10_15,0.875,0.7,0.778,0.875,0.7,0.778
SEIR01_sl1000_mr025_nv10_16,0.95,0.905,0.927,0.927,0.905,0.916
SEIR01_sl1000_mr025_nv10_17,0.875,0.778,0.824,0.878,0.8,0.837
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_19,0.945,0.881,0.912,0.93,0.898,0.914
SEIR01_sl1000_mr025_nv10_2,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_20,0.875,0.824,0.848,0.875,0.824,0.848
SEIR01_sl1000_mr025_nv10_3,0.933,0.857,0.894,0.894,0.857,0.875
SEIR01_sl1000_mr025_nv10_4,0.98,0.923,0.95,0.98,0.923,0.95
SEIR01_sl1000_mr025_nv10_5,0.925,0.841,0.881,0.86,0.841,0.851
SEIR01_sl1000_mr025_nv10_6,1.0,0.571,0.727,0.8,0.571,0.667
SEIR01_sl1000_mr025_nv10_7,0.861,0.775,0.816,0.861,0.775,0.816
SEIR01_sl1000_mr025_nv10_8,0.833,0.741,0.784,0.8,0.741,0.769
SEIR01_sl1000_mr025_nv10_9,0.932,0.872,0.901,0.932,0.872,0.901
SEIR01_sl1000_mr025_nv20_1,1.0,0.938,0.968,0.938,0.938,0.938
SEIR01_sl1000_mr025_nv20_10,1.0,0.556,0.714,0.833,0.556,0.667
SEIR01_sl1000_mr025_nv20_11,0.75,0.6,0.667,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_12,1.0,0.833,0.909,0.938,0.833,0.882
SEIR01_sl1000_mr025_nv20_13,0.941,0.828,0.881,0.925,0.845,0.883
SEIR01_sl1000_mr025_nv20_14,0.9,0.692,0.783,0.909,0.769,0.833
SEIR01_sl1000_mr025_nv20_15,1.0,0.957,0.978,1.0,0.957,0.978
SEIR01_sl1000_mr025_nv20_16,1.0,0.286,0.444,0.833,0.714,0.769
SEIR01_sl1000_mr025_nv20_17,0.955,0.84,0.894,0.955,0.84,0.894
SEIR01_sl1000_mr025_nv20_18,0.957,0.846,0.898,0.92,0.885,0.902
SEIR01_sl1000_mr025_nv20_19,0.942,0.925,0.933,0.942,0.925,0.933
SEIR01_sl1000_mr025_nv20_2,0.927,0.905,0.916,0.927,0.905,0.916
SEIR01_sl1000_mr025_nv20_20,0.931,0.871,0.9,0.875,0.903,0.889
SEIR01_sl1000_mr025_nv20_3,0.938,0.714,0.811,0.944,0.81,0.872
SEIR01_sl1000_mr025_nv20_4,0.8,0.5,0.615,0.857,0.75,0.8
SEIR01_sl1000_mr025_nv20_5,1.0,0.879,0.935,1.0,0.879,0.935
SEIR01_sl1000_mr025_nv20_6,1.0,0.909,0.952,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_7,1.0,0.824,0.903,1.0,0.882,0.938
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1.0,0.917,0.957,1.0,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,0.919,0.829,0.872,0.919,0.829,0.872
SEIR01_sl1000_mr025_nv5_10,1.0,0.606,0.755,0.957,0.667,0.786
SEIR01_sl1000_mr025_nv5_11,1.0,0.579,0.733,0.917,0.579,0.71
SEIR01_sl1000_mr025_nv5_12,0.846,0.579,0.688,0.846,0.579,0.688
SEIR01_sl1000_mr025_nv5_13,1.0,0.667,0.8,0.8,0.667,0.727
SEIR01_sl1000_mr025_nv5_14,1.0,0.9,0.947,1.0,0.9,0.947
SEIR01_sl1000_mr025_nv5_15,0.846,0.815,0.83,0.846,0.815,0.83
SEIR01_sl1000_mr025_nv5_16,1.0,0.722,0.839,1.0,0.722,0.839
SEIR01_sl1000_mr025_nv5_17,0.889,0.727,0.8,0.889,0.727,0.8
SEIR01_sl1000_mr025_nv5_18,0.9,0.766,0.828,0.878,0.766,0.818
SEIR01_sl1000_mr025_nv5_19,0.909,0.862,0.885,0.911,0.879,0.895
SEIR01_sl1000_mr025_nv5_2,0.929,0.812,0.867,0.929,0.812,0.867
SEIR01_sl1000_mr025_nv5_20,1.0,0.625,0.769,1.0,0.625,0.769
SEIR01_sl1000_mr025_nv5_3,0.875,0.7,0.778,0.889,0.8,0.842
SEIR01_sl1000_mr025_nv5_4,0.8,0.72,0.758,0.796,0.78,0.788
SEIR01_sl1000_mr025_nv5_5,0.812,0.765,0.788,0.816,0.784,0.8
SEIR01_sl1000_mr025_nv5_6,0.714,0.625,0.667,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv5_7,1.0,0.8,0.889,1.0,0.8,0.889
SEIR01_sl1000_mr025_nv5_8,0.941,0.696,0.8,0.947,0.783,0.857
SEIR01_sl1000_mr025_nv5_9,0.833,0.556,0.667,0.833,0.556,0.667
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.926,0.781,0.847,0.929,0.812,0.867
SEIR01_sl1000_mr05_nv10_12,0.917,0.759,0.83,0.922,0.81,0.862
SEIR01_sl1000_mr05_nv10_13,0.833,0.625,0.714,0.833,0.625,0.714
SEIR01_sl1000_mr05_nv10_14,1.0,0.846,0.917,1.0,0.872,0.932
SEIR01_sl1000_mr05_nv10_15,0.923,0.75,0.828,0.923,0.75,0.828
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933,0.875,0.955,0.913
