unique.split,parent.split,host,parent.host
92-SPLIT1,13-SPLIT1,92,13
4-SPLIT2,13-SPLIT1,4,13
92-SPLIT2,4-SPLIT2,92,4
89-SPLIT1,92-SPLIT2,89,92
4-SPLIT1,92-SPLIT2,4,92
6-SPLIT1,4-SPLIT2,6,4
6-SPLIT2,4-SPLIT2,6,4
13-SPLIT1,unassigned_region-SPLIT1,13,unassigned_region
4-SPLIT4,13-SPLIT1,4,13
28-SPLIT1,4-SPLIT4,28,4
89-SPLIT2,4-SPLIT4,89,4
90-SPLIT1,4-SPLIT4,90,4
89-SPLIT3,90-SPLIT1,89,90
4-SPLIT3,90-SPLIT1,4,90
16-SPLIT1,90-SPLIT1,16,90
90-SPLIT2,4-SPLIT4,90,4
4-SPLIT5,13-SPLIT1,4,13
89-SPLIT4,13-SPLIT1,89,13
4-SPLIT6,unassigned_region-SPLIT1,4,unassigned_region
90-SPLIT3,4-SPLIT6,90,4
92-SPLIT3,4-SPLIT6,92,4
92-SPLIT4,4-SPLIT6,92,4
90-SPLIT4,4-SPLIT6,90,4
13-SPLIT2,unassigned_region-SPLIT2,13,unassigned_region
28-SPLIT2,unassigned_region-SPLIT2,28,unassigned_region
90-SPLIT5,4-SPLIT6,90,4
90-SPLIT6,4-SPLIT6,90,4
90-SPLIT7,4-SPLIT6,90,4
28-SPLIT3,4-SPLIT6,28,4
90-SPLIT8,4-SPLIT6,90,4
28-SPLIT4,4-SPLIT6,28,4
92-SPLIT5,4-SPLIT6,92,4
25,4-SPLIT6,25,4
16-SPLIT2,25,16,25
16-SPLIT3,25,16,25
16-SPLIT4,25,16,25
13-SPLIT3,4-SPLIT6,13,4
90-SPLIT9,4-SPLIT6,90,4
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,4-SPLIT6,unassigned_region,4
